Time,Longitude,Latitude,Altitude,Roll (deg),Pitch (deg),Yaw (deg)
15.6000,200.4889,200.5399,3077.3611,0.0000,0.0000,152.7056
15.7200,200.4865,200.5353,3077.3611,8.4000,0.0000,152.9918
15.8400,200.4842,200.5306,3077.3611,0.0000,0.0000,152.9918
15.9600,200.4818,200.5260,3077.3611,0.0000,0.0000,152.9918
16.0800,200.4794,200.5213,3077.3611,8.4000,0.0000,153.2780
16.2000,200.4771,200.5167,3077.3611,0.0000,0.0000,153.2780
16.3200,200.4747,200.5120,3077.3611,0.0000,0.0000,153.2780
16.4400,200.4724,200.5074,3077.3611,0.0000,0.0000,153.2780
16.5600,200.4700,200.5027,3077.3611,0.0000,0.0000,153.2780
16.6800,200.4677,200.4980,3077.3611,0.0000,0.0000,153.2780
16.8000,200.4657,200.4940,3077.3611,0.0000,0.0000,153.2780
16.9200,200.4633,200.4894,3077.3611,8.4000,0.0000,153.5642
17.0400,200.4610,200.4847,3077.3611,0.0000,0.0000,153.5642
17.1600,200.4587,200.4800,3077.3611,0.0000,0.0000,153.5642
17.2800,200.4564,200.4753,3077.3611,0.0000,0.0000,153.5642
17.4000,200.4540,200.4707,3077.3611,0.0000,0.0000,153.5642
17.5200,200.4517,200.4660,3077.3611,8.4000,0.0000,153.8504
17.6400,200.4494,200.4613,3077.3611,0.0000,0.0000,153.8504
17.7600,200.4474,200.4573,3077.3611,8.4000,0.0000,154.1824
17.8800,200.4455,200.4532,3077.3611,16.8000,0.0000,154.8612
18.0000,200.4436,200.4491,3077.3611,25.2000,0.0000,155.9192
18.1200,200.4417,200.4450,3077.3611,0.0000,0.0000,155.9192
18.2400,200.4399,200.4409,3077.3611,0.0000,0.0000,155.9192
18.3600,200.4378,200.4362,3077.3611,0.0000,0.0000,155.9192
18.4800,200.4356,200.4314,3077.3611,0.0000,0.0000,155.9192
18.6000,200.4335,200.4266,3077.3611,0.0000,0.0000,155.9192
18.7200,200.4311,200.4212,3077.3611,0.0000,0.0000,155.9192
18.8400,200.4291,200.4168,3077.3611,0.0000,0.0000,155.9192
18.9600,200.4271,200.4123,3077.3611,0.0000,0.0000,155.9192
19.0800,200.4248,200.4072,3077.3611,0.0000,0.0000,155.9192
19.2000,200.4223,200.4015,3077.3611,0.0000,0.0000,155.9192
19.3200,200.4201,200.3967,3077.3611,0.0000,0.0000,155.9192
19.4400,200.4183,200.3926,3077.3611,0.0000,0.0000,155.9192
19.5600,200.4162,200.3878,3077.3611,0.0000,0.0000,155.9192
19.6800,200.4137,200.3824,3077.3611,0.0000,0.0000,155.9192
19.8000,200.4110,200.3763,3077.3611,0.0000,0.0000,155.9192
19.9200,200.4080,200.3696,3077.3611,0.0000,0.0000,155.9192
20.0400,200.4050,200.3629,3077.3611,0.0000,0.0000,155.9192
20.1600,200.4020,200.3561,3077.3611,0.0000,0.0000,155.9192
20.2800,200.3990,200.3494,3077.3611,8.4000,0.0000,156.1216
20.4000,200.3960,200.3426,3077.3611,0.0000,0.0000,156.1216
20.5200,200.3927,200.3352,3077.3611,0.0000,0.0000,156.1216
20.6400,200.3891,200.3272,3077.3611,0.0000,0.0000,156.1216
20.7600,200.3856,200.3191,3077.3611,0.0000,0.0000,156.1216
20.8800,200.3820,200.3110,3077.3611,0.0000,0.0000,156.1216
21.0000,200.3784,200.3030,3077.3611,8.4000,0.0000,156.2910
