# Longitude, Latitude, Altitude, Roll, Pitch, Yaw
105.3877,138.9221,609.9889,1.5708,1.2217,-3.8736
103.1153,136.3930,609.9889,1.5708,1.2217,-3.9529
100.6497,134.0519,609.9889,1.5708,1.2217,-4.0321
98.0065,131.9133,609.9889,1.5708,1.2217,-4.1114
95.5322,130.2170,609.9889,1.5708,1.2217,-4.2013
92.9156,128.7495,609.9889,1.5708,1.2217,-4.2911
90.1779,127.5226,609.9889,1.5708,1.2217,-4.3809
86.9630,126.4162,609.9889,1.5708,1.2217,-4.4602
84.0579,125.6677,609.9889,1.5708,1.2217,-4.5501
81.0973,125.1828,609.9889,1.5708,1.2217,-4.6399
78.1052,124.9655,609.9889,1.5708,1.2217,-4.7297
74.7057,125.0245,609.9889,1.5708,1.2217,-4.8090
70.9234,125.3911,609.9889,1.5708,1.2217,-4.8799
66.7822,126.0915,609.9889,1.5708,1.2217,-4.9441
62.3052,127.1479,609.9889,1.5708,1.2217,-5.0027
57.8977,128.4647,609.9889,1.5708,1.2217,-5.0613
54.1387,129.8322,609.9889,1.5708,1.2217,-5.1287
50.4803,131.4497,609.9889,1.5708,1.2217,-5.1961
46.5850,133.4958,609.9889,1.5708,1.2217,-5.2573
42.8223,135.7766,609.9889,1.5708,1.2217,-5.3186
38.8775,138.5113,609.9889,1.5708,1.2217,-5.3747
35.5656,141.0942,609.9889,1.5708,1.2217,-5.4389
32.4261,143.8841,609.9889,1.5708,1.2217,-5.5031
29.8940,146.4431,609.9889,1.5708,1.2217,-5.5779
27.3011,149.4889,609.9889,1.5708,1.2217,-5.6453
24.9192,152.7024,609.9889,1.5708,1.2217,-5.7127
22.5431,156.4056,609.9889,1.5708,1.2217,-5.7740
20.2031,160.5966,609.9889,1.5708,1.2217,-5.8301
18.3646,164.3729,609.9889,1.5708,1.2217,-5.8943
16.7721,168.2592,609.9889,1.5708,1.2217,-5.9585
15.3045,172.6188,609.9889,1.5708,1.2217,-6.0171
14.2524,176.4780,609.9889,1.5708,1.2217,-6.0844
13.3837,180.7914,609.9889,1.5708,1.2217,-6.1457
12.7258,185.5461,609.9889,1.5708,1.2217,-6.2018
12.3358,190.3302,609.9889,1.5708,1.2217,-6.2580
12.2149,195.1287,609.9889,1.5708,1.2217,-0.0310
12.3634,199.9264,609.9889,1.5708,1.2217,-0.0871
12.7289,204.1105,609.9889,1.5708,1.2217,-0.1513
13.3618,208.2625,609.9889,1.5708,1.2217,-0.2155
