# Longitude, Latitude, Altitude, Roll, Pitch, Yaw
458.4870,373.2977,759.5365,1.5708,0.0000,-5.7204
455.8191,377.5264,759.5365,1.5708,0.0000,-5.7204
453.1513,381.7552,759.5365,1.5708,0.0000,-5.7204
450.4834,385.9840,759.5365,1.5708,0.0000,-5.7204
447.8155,390.2127,759.5365,1.5708,0.0000,-5.7204
445.1477,394.4415,759.5365,1.5708,0.0000,-5.7204
442.4798,398.6703,759.5365,1.5708,0.0000,-5.7204
439.8119,402.8990,759.5365,1.5708,0.0000,-5.7204
437.1440,407.1278,759.5365,1.5708,0.0000,-5.7204
434.4762,411.3566,759.5365,1.5708,0.0000,-5.7204
431.8083,415.5853,759.5365,1.5708,0.0000,-5.7204
429.1404,419.8141,759.5365,1.5708,0.0000,-5.7204
426.4726,424.0429,759.5365,1.5708,0.0000,-5.7204
423.8047,428.2716,759.5365,1.5708,0.0000,-5.7204
421.1368,432.5004,759.5365,1.5708,0.0000,-5.7204
418.4690,436.7292,759.5365,1.5708,0.0000,-5.7204
415.8011,440.9579,759.5365,1.5708,0.0000,-5.7204
413.1332,445.1867,759.5365,1.5708,0.0000,-5.7204
410.4653,449.4155,759.5365,1.5708,0.0000,-5.7204
407.7975,453.6442,759.5365,1.5708,0.0000,-5.7204
405.1296,457.8730,759.5365,1.5708,0.0000,-5.7204
402.4617,462.1018,759.5365,1.5708,0.0000,-5.7204
399.7939,466.3305,759.5365,1.5708,0.0000,-5.7204
397.1260,470.5593,759.5365,1.5708,0.0000,-5.7204
394.4581,474.7881,759.5365,1.5708,0.0000,-5.7204
391.7903,479.0168,759.5365,1.5708,0.0000,-5.7204
389.1224,483.2456,759.5365,1.5708,0.0000,-5.7204
386.4545,487.4744,759.5365,1.5708,0.0000,-5.7204
383.7867,491.7031,759.5365,1.5708,0.0000,-5.7204
381.1188,495.9319,759.5365,1.5708,0.0000,-5.7204
378.4509,500.1607,759.5365,1.5708,0.0000,-5.7204
375.7830,504.3894,759.5365,1.5708,0.0000,-5.7204
373.1152,508.6182,759.5365,1.5708,0.0000,-5.7204
370.4473,512.8470,759.5365,1.5708,0.0000,-5.7204
367.7794,517.0757,759.5365,1.5708,0.0000,-5.7204
365.1116,521.3045,759.5365,1.5708,0.0000,-5.7204
362.4437,525.5333,759.5365,1.5708,0.0000,-5.7204
359.7758,529.7620,759.5365,1.5708,0.0000,-5.7204
357.1080,533.9908,759.5365,1.5708,0.0000,-5.7204
354.4401,538.2196,759.5365,1.5708,0.0000,-5.7204
351.7722,542.4483,759.5365,1.5708,0.0000,-5.7204
349.1043,546.6771,759.5365,1.5708,0.0000,-5.7204
346.4365,550.9059,759.5365,1.5708,0.0000,-5.7204
343.7686,555.1346,759.5365,1.5708,0.0000,-5.7204
341.1007,559.3634,759.5365,1.5708,0.0000,-5.7204
338.4329,563.5922,759.5365,1.5708,0.0000,-5.7204
335.7650,567.8209,759.5365,1.5708,0.0000,-5.7204
333.0971,572.0497,759.5365,1.5708,0.0000,-5.7204
330.4293,576.2785,759.5365,1.5708,0.0000,-5.7204
327.7614,580.5072,759.5365,1.5708,0.0000,-5.7204
325.0935,584.7360,759.5365,1.5708,0.0000,-5.7204
322.4256,588.9648,759.5365,1.5708,0.0000,-5.7204
319.7578,593.1935,759.5365,1.5708,0.0000,-5.7204
317.0899,597.4223,759.5365,1.5708,0.0000,-5.7204
314.4220,601.6511,759.5365,1.5708,0.0000,-5.7204
311.7542,605.8798,759.5365,1.5708,0.0000,-5.7204
